"vin_1_10","county","city","state","zip_code","model_year","make","model","ev_type","cafv_type","electric_range","legislative_district","dol_vehicle_id","geocoded_column","electric_utility","_2020_census_tract"
"YV4H60PE7S","Kitsap","Bremerton","WA","98310","2025","VOLVO","XC90","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","32","23","277607004","POINT (-122.61136 47.5752)","PUGET SOUND ENERGY INC","53035080101"
"5YJ3E1EB3K","Snohomish","Lynnwood","WA","98087","2019","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","220","21","478641796","POINT (-122.27981 47.85727)","PUGET SOUND ENERGY INC","53061041703"
"1FADP5CUXD","Kitsap","Port Orchard","WA","98367","2013","FORD","C-MAX","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range","19","35","253249678","POINT (-122.68471 47.50524)","PUGET SOUND ENERGY INC","53035092901"
"5YJSA1H20E","Thurston","Yelm","WA","98597","2014","TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","208","2","131872905","POINT (-122.60735 46.94239)","PUGET SOUND ENERGY INC","53067012530"
"7SAYGDEE2P","Snohomish","Bothell","WA","98012","2023","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","1","260935657","POINT (-122.20105 47.84423)","PUGET SOUND ENERGY INC","53061051927"
"1N4AZ1CP2L","King","Renton","WA","98056","2020","NISSAN","LEAF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","149","41","140097940","POINT (-122.18839 47.51197)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033025304"
"5YJSA1E49G","King","Renton","WA","98059","2016","TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","210","11","174494631","POINT (-122.11589 47.50243)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033025602"
"1G1FX6S00H","Kitsap","Port Orchard","WA","98366","2017","CHEVROLET","BOLT EV","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","238","26","280892223","POINT (-122.63848 47.5414)","PUGET SOUND ENERGY INC","53035092200"
"WAUUPBFF2G","Kitsap","Port Orchard","WA","98366","2016","AUDI","A3","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range","16","26","179801891","POINT (-122.63848 47.5414)","PUGET SOUND ENERGY INC","53035092200"
"KNDCE3LG3L","King","Burien","WA","98166","2020","KIA","NIRO","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","239","34","276617519","POINT (-122.33942 47.46864)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)","53033027600"
"1G1RB6S56H","Island","Oak Harbor","WA","98277","2017","CHEVROLET","VOLT","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","53","10","348224320","POINT (-122.64682 48.29077)","PUGET SOUND ENERGY INC","53029970300"
"WBY1Z2C58E","King","Duvall","WA","98019","2014","BMW","I3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","81","45","8371086","POINT (-121.98609 47.74068)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033032401"
"5UXTA6C02P","Kitsap","Bainbridge Island","WA","98110","2023","BMW","X5","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","30","23","233818987","POINT (-122.521 47.62759)","PUGET SOUND ENERGY INC","53035091002"
"7SAYGAEE6R","Kitsap","Poulsbo","WA","98370","2024","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","23","266782463","POINT (-122.64681 47.73689)","PUGET SOUND ENERGY INC","53035940100"
"KL8CL6S03F","Kitsap","Bremerton","WA","98311","2015","CHEVROLET","SPARK","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","82","23","293823701","POINT (-122.60915 47.62631)","PUGET SOUND ENERGY INC","53035091500"
"5YJ3E1EB5J","Yakima","Yakima","WA","98901","2018","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","215","14","220635992","POINT (-120.50729 46.60464)","PACIFICORP","53077000100"
"5YJ3E1EB2J","Snohomish","Everett","WA","98204","2018","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","215","38","474924355","POINT (-122.27557 47.88936)","PUGET SOUND ENERGY INC","53061041906"
"5YJ3E1EB4J","King","Issaquah","WA","98029","2018","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","215","5","235285200","POINT (-122.01656 47.57118)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033032221"
"WA1LAAGE5K","King","Kirkland","WA","98033","2019","AUDI","E-TRON","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","204","48","249591667","POINT (-122.2066 47.67887)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033022604"
"5YJXCAE23J","King","Redmond","WA","98052","2018","TESLA","MODEL X","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","238","45","175341806","POINT (-122.13158 47.67858)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033032321"
"1N4AZ0CP9D","Kitsap","Poulsbo","WA","98370","2013","NISSAN","LEAF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","75","23","263375976","POINT (-122.64681 47.73689)","PUGET SOUND ENERGY INC","53035090400"
"5UXTA6C05P","Yakima","Yakima","WA","98908","2023","BMW","X5","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","30","14","220083468","POINT (-120.60199 46.59817)","PACIFICORP","53077002801"
"5YJ3E1EBXL","Kitsap","Bainbridge Island","WA","98110","2020","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","322","23","3570115","POINT (-122.521 47.62759)","PUGET SOUND ENERGY INC","53035090800"
"1V2VMPE85P","Kitsap","Poulsbo","WA","98370","2023","VOLKSWAGEN","ID.4","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","23","278020564","POINT (-122.64681 47.73689)","PUGET SOUND ENERGY INC","53035090502"
"5YJ3E1EB0K","Yakima","Yakima","WA","98908","2019","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","220","14","259965023","POINT (-120.60199 46.59817)","PACIFICORP","53077002801"
