county,city,state,zip_code,model_year,make,model,ev_type,cafv_type,electric_range,legislative_district,electric_utility,Electric_Range_MinMax,Model_Year_ZScore,Range_Category
King,Newcastle,WA,98056.0,2024,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,41.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),0.0,0.5904667055943594,Unknown/Not Researched
King,Kent,WA,98031.0,2026,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,11.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),0.0,1.2298029582510313,Unknown/Not Researched
King,Bothell,WA,98011.0,2022,MERCEDES-BENZ,EQS-CLASS SEDAN,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,1.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),0.0,-0.04886954706231235,Unknown/Not Researched
King,Seattle,WA,98199.0,2016,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,36.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),0.05460750853242321,-1.9668783050323277,Short
King,Bellevue,WA,98008.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,48.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),0.0,0.2707985792660235,Unknown/Not Researched
Clark,Vancouver,WA,98663.0,2025,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,49.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),0.0,0.9101348319226953,Unknown/Not Researched
Clark,Vancouver,WA,98683.0,2014,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,17.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),0.24573378839590443,-2.6062145576889995,Medium
Snohomish,Bothell,WA,98012.0,2026,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,21.0,PUGET SOUND ENERGY INC,0.0,1.2298029582510313,Unknown/Not Researched
Clark,Battle Ground,WA,98604.0,2021,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,18.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),0.0,-0.36853767339064825,Unknown/Not Researched
King,Kent,WA,98030.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,47.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),0.0,0.2707985792660235,Unknown/Not Researched
King,Bellevue,WA,98004.0,2024,GENESIS,GV70,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,41.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),0.0,0.5904667055943594,Unknown/Not Researched
